#node	date	numeric date
NODE_0000000	1626-10-02	1626.752764
NODE_0000001	1626-10-02	1626.752764
JQ249921.1_WB-716_2011	2011-01-01	2011.000000
NODE_0000002	1684-04-12	1684.279859
OR046036.1_CN-JSZJ202104-1_2021	2021-01-01	2021.000000
NODE_0000003	1872-06-09	1872.439336
JQ249924.1_WB-773_2011	2011-01-01	2011.000000
NODE_0000004	1891-06-06	1891.428463
NODE_0000005	1907-04-04	1907.257247
NODE_0000006	1928-09-26	1928.737045
NODE_0000007	1960-09-24	1960.729860
AY684864.1_225b_2002	2002-01-01	2002.000000
AY684867.1_143a_2002	2002-01-01	2002.000000
NODE_0000008	1946-05-25	1946.395207
AY684872.1_IDT_1964	1964-01-01	1964.000000
NODE_0000009	1959-05-29	1959.407742
AY684870.1_106b_2002	2002-01-01	2002.000000
ON014615.1_PS1831_1972	1972-01-01	1972.000000
NODE_0000010	1922-04-24	1922.310736
NODE_0000011	1949-10-21	1949.802922
ON014682.1_PS3369_2021	2021-01-01	2021.000000
ON014660.1_839_1983	1983-01-01	1983.000000
NODE_0000012	1940-03-12	1940.196271
NODE_0000013	1965-12-25	1965.983302
JN400520.1_15425_2009	2009-01-01	2009.000000
ON014671.1_12546-1_2015	2015-01-01	2015.000000
NODE_0000014	1962-05-17	1962.374350
KC296745.1_55T_2010	2010-01-01	2010.000000
GQ884035.1_21620005_1h_2005	2005-01-01	2005.000000
NODE_0000015	1918-06-28	1918.489432
NODE_0000016	1940-11-10	1940.858627
KC296743.1_6T_2010	2010-01-01	2010.000000
NODE_0000017	1960-06-14	1960.452011
ON014678.1_30-1_2021	2021-01-01	2021.000000
ON014672.1_901-3_2009	2009-01-01	2009.000000
NODE_0000018	1934-12-16	1934.956309
NODE_0000019	1960-08-10	1960.607583
AY684869.1_PPV/Tornau/1/02_2006	2006-01-01	2006.000000
ON014670.1_626-1_2006	2006-01-01	2006.000000
NODE_0000020	1942-04-02	1942.251729
NODE_0000021	1961-07-06	1961.510776
ON014666.1_95-2_2021	2021-01-01	2021.000000
NODE_0000022	1971-02-22	1971.144644
ON014662.1_181-1_2014	2014-01-01	2014.000000
ON014663.1_2016-1_2020	2020-01-01	2020.000000
NODE_0000023	1951-03-09	1951.184062
ON014669.1_2733-5_2020	2020-01-01	2020.000000
NODE_0000024	1961-01-14	1961.037562
ON014665.1_372-3_2007	2007-01-01	2007.000000
NODE_0000025	1969-04-05	1969.258871
ON014664.1_371-2_2007	2007-01-01	2007.000000
ON014667.1_7746-1_2014	2014-01-01	2014.000000
NODE_0000026	1665-02-19	1665.136128
NODE_0000027	1864-03-09	1864.188340
NODE_0000028	1891-10-07	1891.765012
NODE_0000029	1902-04-19	1902.298565
NODE_0000030	1926-07-12	1926.527697
NODE_0000031	1953-03-12	1953.193272
HM627653.1_LZ_2009	2009-01-01	2009.000000
JQ249914.1_WB-143_2011	2011-01-01	2011.000000
NODE_0000032	1952-09-21	1952.722300
MN326126.1_PPV1-GD10-1999_1999	1999-01-01	1999.000000
NODE_0000033	1968-10-16	1968.792024
KP245930.1_74_2009	2009-01-01	2009.000000
OR435317.1_GD202206-8_2022	2022-01-01	2022.000000
NODE_0000034	1916-06-24	1916.480537
EU790642.1_ZJ_2004	2004-01-01	2004.000000
NODE_0000035	1930-04-26	1930.317029
KP245938.1_5_2009	2009-01-01	2009.000000
NODE_0000036	1957-02-25	1957.152763
NODE_0000037	1990-03-02	1990.166810
KP245935.1_LH_2005	2005-01-01	2005.000000
KP245934.1_HJ_2004	2004-01-01	2004.000000
NODE_0000038	1964-11-27	1964.904503
MH817779.1_N2_2018	2018-01-01	2018.000000
NODE_0000039	1976-11-24	1976.897036
KX233726.1_TJ_2015	2015-01-01	2015.000000
